COL|ManualBuilding_House1|-16.64|-0.01|28.13|44.06|0.00
COL|Concrete_1|4.97|-8.55|1.00|5.72|0.00
COL|Concrete_2|4.99|13.93|1.00|5.78|0.00
COL|Concrete_6|5.00|-2.80|1.00|5.77|0.00
COL|Concrete_3|4.99|8.13|1.00|5.78|0.00
COL|Concrete_4|4.95|19.75|1.00|5.78|0.00
COL|Concrete_7|4.99|-14.26|1.00|5.70|0.00
COL|Concrete_8|4.99|-19.92|1.00|5.70|0.00
COL|Concrete_9|2.40|-23.00|1.00|5.70|1.56
COL|Concrete_13|-3.30|-23.00|1.00|5.70|1.56
COL|Concrete_14|-8.98|-23.00|1.00|5.70|1.56
COL|Concrete_15|-14.68|-23.00|1.00|5.70|1.56
COL|Concrete_16|-20.42|-23.00|1.00|5.70|1.56
COL|Concrete_17|-26.12|-23.00|1.00|5.70|1.56
COL|Concrete_18|-31.96|-23.06|1.00|5.97|1.56
COL|Concrete_5|2.26|22.86|1.00|5.78|-1.57
COL|Concrete_10|-3.50|22.86|1.00|5.78|-1.57
COL|Concrete_11|-9.22|22.86|1.00|5.78|-1.57
COL|Concrete_12|-14.94|22.86|1.00|5.78|-1.57
COL|Concrete_19|-20.69|22.86|1.00|5.78|-1.57
COL|Concrete_20|-26.45|22.86|1.00|5.78|-1.57
COL|Concrete_21|-32.17|22.86|1.00|5.78|-1.57
COL|Tree_Manual_1|-40.00|-31.49|26.86|26.70|0.00
COL|Tree_Manual_2|-43.13|-39.41|26.86|26.70|0.00
COL|ManualBuilding_House2|35.24|7.26|18.26|26.23|3.14
COL|Concrete_22|22.13|13.48|1.00|5.78|0.00
COL|Concrete_23|22.13|2.23|1.00|5.78|0.00
COL|Concrete_24|22.13|19.24|1.00|5.78|0.00
COL|Concrete_26|24.88|22.27|1.00|5.78|1.56
COL|Concrete_27|30.69|22.34|1.00|5.78|1.56
COL|Concrete_28|36.48|22.36|1.00|5.78|1.56
COL|Concrete_29|41.14|22.39|1.00|5.78|1.56
COL|Concrete_25|22.13|-2.95|1.00|5.78|0.00
COL|Concrete_30|24.91|-6.00|1.00|5.78|-1.60
COL|Concrete_31|30.36|-5.82|1.00|5.78|-1.60
COL|Concrete_32|35.65|-5.65|1.00|5.78|-1.60
COL|Concrete_33|41.08|-5.47|1.00|5.78|-1.60
COL|Concrete_34|22.13|-9.22|1.00|5.78|0.00
